data_year,edition_year,source_order,iso3,country_name,source_country_name,rank,tied_rank,score,military_expenditure_index,military_personnel_index,heavy_weapons_index,trend_reference_year,score_change_2y,score_change_2y_pct,quality_flag,source_dataset_version,source_variables,row_sha256
2022,2023,34,MMR,Myanmar,Myanmar,34,0,138.0,1.89,1.09,0.79,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,49ab8fa0033b5c5c256f0c502c41c902b6607329a933c4fcd25568d21f0ce946
2022,2023,35,IRQ,Iraq,Iraq,35,0,137.0,1.26,1.18,1.31,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,0f2ac5eb1afe464331ab1ac665e436a48e8695492d292cf1baebbf3a47d824dd
2022,2023,36,ROU,Romania,Romania,36,0,137.0,1.25,0.66,1.83,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,d2b13d0e7bc6dd68d48897e62ff201aa70eab0e1eee4c1d0cb0946a271e6d5be
2022,2023,37,SSD,South Sudan,South Sudan,37,0,137.0,1.84,1.52,0.38,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,55e022d8e03793237d9004f0005724037df7c7fca01c44531df6b114eddfcf8f
2022,2023,38,HRV,Croatia,Croatia,38,0,137.0,1.41,0.46,1.87,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,8cc1de85ed721ed3e3e0debbc891015264d86c8799c8716d9ce8caac88f7bd6a
2022,2023,39,EGY,Egypt,Egypt,39,0,136.0,0.94,1.06,1.7,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,77a2a84b5259174b2bde6d41897f49a213c8957024200c8fe7876ab291dffc43
2022,2023,40,URY,Uruguay,Uruguay,40,0,135.0,1.27,0.52,1.89,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,bfccabc1001e2eb22def2f2634219b97969f3b57fa0dd8f3a8c0192fc29d27cb
2022,2023,41,TUR,Türkiye,Turkey,41,0,135.0,1.04,0.7,1.94,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,6533f0d374fc9a62bcceac5ef45c27f47f75dc374db2705748a6acd5e335b2fb
2022,2023,42,MNE,Montenegro,Montenegro,42,0,134.0,1.11,0.96,1.59,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,f3b916864b1b3e0ec6c417f0c9920c58373f940b07656c7071116c9fb6133380
2022,2023,43,GEO,Georgia,Georgia,43,0,131.0,1.07,0.57,1.94,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,6667a3a776408bbd723b13cb0dabc05f2506800031bffb24cae31739a77bc799
2022,2023,44,PAK,Pakistan,Pakistan,44,0,130.0,1.88,0.62,1.06,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,33953398ca6a2cb7d6854e1bbddbaac9c7342f76b024e8c692f38615b1104744
2022,2023,45,TUN,Tunisia,Tunisia,45,0,128.0,1.58,0.57,1.35,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,fb75452a7f5f7b651fb1c16a10580507ea35955a2c4556e587c83dba5852939b
2022,2023,46,POL,Poland,Poland,46,0,127.0,1.54,0.34,1.61,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,f5581320bfad1b077fb23b400f3b1cf4a7d767896f69f4723655a952e07d3a97
